lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009998886215193948,0.014967918395996094,0.1538382669289907,0.10778115317225456,30.8837890625,0.04605711375673612,21.539306640625,0.6932491461435953,6.0,5948.0,6.0
0.009933371122565919,0.009581947326660156,0.05548069477081299,0.039110255800187586,80.712890625,0.016370437759906053,81.3934326171875,0.33509464263916017,300.0,3774.0,300.0
0.009866468952637547,0.011313772201538086,0.05310133509337902,0.03744274061173201,79.91943359375,0.015658594481647015,83.60595703125,0.33889501094818114,600.0,5198.0,600.0
0.009799515822054777,0.010401320457458497,0.04082598313689232,0.028616785258054733,89.6697998046875,0.01220919769257307,88.836669921875,0.3371546983718872,900.0,3774.0,900.0
0.009732511300541468,0.010773539543151855,0.04483189918100834,0.030771355144679546,86.3189697265625,0.014060543570667505,86.199951171875,0.33895657062530515,1200.0,3774.0,1200.0
0.009665454950832103,0.009446859359741211,0.04926601350307465,0.03473645020276308,74.9053955078125,0.014529563346877694,71.014404296875,0.3350282907485962,1500.0,3774.0,1500.0
0.009598346328502901,0.009595894813537597,0.04017265271395445,0.027975071407854556,85.1531982421875,0.012197581911459565,79.949951171875,0.33536128997802733,1800.0,3774.0,1800.0
0.0095311849817975,0.010574150085449218,0.03837040085345507,0.026661750487983228,81.8756103515625,0.01170864999294281,81.6925048828125,0.3366462469100952,2100.0,3774.0,2100.0
0.009463970451446941,0.010121750831604003,0.03333835601806641,0.02345452830195427,90.5364990234375,0.009883827529847622,89.3829345703125,0.336360764503479,2400.0,3774.0,2400.0
0.009396702270483696,0.010542154312133789,0.03598947152495384,0.02570121716707945,85.68115234375,0.010288254218176007,84.55810546875,0.3387622594833374,2700.0,3774.0,2700.0
0.009329379964049745,0.0087327241897583,0.03289049975574017,0.023582343570888044,93.29833984375,0.009308156045153736,91.88232421875,0.33428828716278075,3000.0,3774.0,3000.0
0.009262003049198152,0.011117696762084961,0.0399675352498889,0.028754285350441933,74.5697021484375,0.011213249713182449,74.212646484375,0.3373236656188965,3300.0,3774.0,3300.0
0.009194571034687833,0.009534239768981934,0.03310311622917652,0.023177757672965527,89.7979736328125,0.009925358509644867,88.8153076171875,0.33498966693878174,3600.0,3774.0,3600.0
0.009127083420771757,0.011873507499694824,0.036601395905017854,0.025695649720728398,93.6126708984375,0.010905746556818485,94.5281982421875,0.3389160394668579,3900.0,3774.0,3900.0
0.009059539698977577,0.009818553924560547,0.024608611967414616,0.017002851143479346,91.461181640625,0.007605760637670755,89.46533203125,0.33543531894683837,4200.0,3774.0,4200.0
0.008991939351880968,0.009587907791137695,0.039506605826318264,0.027919331565499306,93.731689453125,0.011587273702025414,94.873046875,0.3353900671005249,4500.0,3774.0,4500.0
0.00892428185287091,0.011246490478515624,0.03460670169442892,0.02427159734070301,78.1585693359375,0.010335104679688812,79.8095703125,0.3384247779846191,4800.0,3774.0,4800.0
0.008856566665906906,0.01045682430267334,0.04016071259975433,0.028832223266363144,80.1361083984375,0.011328489147126674,81.0302734375,0.336639928817749,5100.0,3774.0,5100.0
0.008788793245267563,0.010130000114440919,0.03252352736890316,0.022894042171537878,70.269775390625,0.009629484917968511,68.7347412109375,0.3376807928085327,5400.0,3774.0,5400.0
0.00872096103529024,0.01081550121307373,0.03654471971094608,0.026229570712894203,70.42236328125,0.010315148998051882,78.2073974609375,0.3370837926864624,5700.0,3774.0,5700.0
0.008653069470101487,0.010401177406311034,0.031338371150195596,0.022349935211241245,87.4664306640625,0.008988436218351126,89.53857421875,0.33645780086517335,6000.0,3774.0,6000.0
